"区域: 减运算.airfoil.Default: Direction [1,0,0] (m)","区域: 减运算.airfoil.Default: Pressure Coefficient"
0.0010358166511152654,1.008132481684864
1.8746885236567347E-4,1.1488144557611246
0.0024187507778087557,0.8692464889769761
8.630816165552952E-4,1.0577004896323516
1.4193535919950352E-4,1.163680417020148
0.004908064549214474,0.5902818404956695
0.008462718382201456,0.3094874349020009
0.019130970012641017,-0.1262964918200137
0.013192364253035549,0.06726967192007333
0.02630312278547242,-0.2658279695861803
0.029523137159010643,-0.2965691553881211
0.021541373066860447,-0.14401187515754554
0.009761194441855492,0.2698609345914582
0.01500304523078489,0.046800028794237856
0.002832606677090989,0.7995908871584384
0.005719263368622163,0.5267162708331514
0.034801273004447617,-0.3598360631175129
0.04480671925898613,-0.42153329679379875
0.05655967521207285,-0.45862590527812375
0.07033403063475256,-0.47970504902486877
0.03913613629109071,-0.4196197855187312
0.06417989657949497,-0.6024271034787345
0.05060326945677687,-0.520381597686397
0.08643654216026837,-0.4866224010063633
0.08015419834723557,-0.6689726249880388
0.09884887778717592,-0.7212073193833075
0.12063231506149849,-0.7596101314861299
0.10521358919578591,-0.48042481068498816
0.14593680905191336,-0.7833996047134729
0.12705813262747434,-0.4613990644634046
0.1752856295930926,-0.7976260926712754
0.20932038508610248,-0.8004925255843834
0.1524162324088726,-0.4342583862536247
0.24878286695580085,-0.7914152564642475
0.18179217666544323,-0.40284321768586234
0.29440100300841443,-0.7631400361441887
0.21574518256598124,-0.36672242177908215
0.25486778224890827,-0.32686069009844226
0.34671475399600454,-0.7174843146370551
0.4060001734581861,-0.6520961731044557
0.29973206824257237,-0.2834131279861594
0.4723939797132107,-0.5715190231242383
0.5460144169714727,-0.4865338763497304
0.3508153937260937,-0.2415816421393438
0.4084835488847711,-0.20205470542841236
0.6268144099610934,-0.39655920192775823
0.4730802886471742,-0.16152326866156497
0.5449824956475082,-0.11709324995068242
0.7139325592342763,-0.2962745437734378
0.8063460414472987,-0.17558117797471373
0.6244270206768514,-0.06785118313126798
0.9025846999638114,-0.05046792310155575
0.9756795839869556,0.06499857114332366
0.9751883189876515,0.15202251346378556
0.8033434961753919,0.043953323524164145
0.7107928390499769,-0.01542685471995529
0.900761846028532,0.10286024811282964
