"Iteration","Lift coefficient Monitor: Lift coefficient Monitor"
1.0,-0.004885242324640644
2.0,0.32479575423178936
3.0,0.28860502960558826
4.0,0.2324399191437738
5.0,0.2071987827142659
6.0,0.2037348320023976
7.0,0.20623248109992937
8.0,0.2080216852955139
9.0,0.20855354131784082
10.0,0.2089409149495674
11.0,0.20989732514735523
12.0,0.21165039189877974
13.0,0.21431019341702112
14.0,0.2179931928616246
15.0,0.22282325051181479
16.0,0.22889854622206754
17.0,0.23624930361474122
18.0,0.2448381238047049
19.0,0.25453883583931003
20.0,0.26518941042797955
21.0,0.27653199291886904
22.0,0.2882828819058827
23.0,0.30015064618421494
24.0,0.3118454676072736
25.0,0.3230773190545118
26.0,0.33358159581444985
27.0,0.3430824661271631
28.0,0.3513476825782289
29.0,0.35815884260308256
30.0,0.36340212215198453
31.0,0.3670573604330514
32.0,0.3691923436448146
33.0,0.36992839805453326
34.0,0.3694294200434875
35.0,0.3678884605043855
36.0,0.3655013156812889
37.0,0.3624700853809973
38.0,0.3589415777313242
39.0,0.35502745482706716
40.0,0.3507775405030026
41.0,0.34622347457976976
42.0,0.34135507146773886
43.0,0.3361732319539604
44.0,0.33068790295873557
45.0,0.3249269295806473
46.0,0.3189612909413274
47.0,0.31287939331989106
48.0,0.30679590068006773
49.0,0.30080760469606077
50.0,0.2950342039030747
51.0,0.28957115760908614
52.0,0.28449528674385444
53.0,0.27985663653002507
54.0,0.27568547363899637
55.0,0.27199297957445523
56.0,0.2687583514168275
57.0,0.2659472486827866
58.0,0.2635013525874163
59.0,0.2613752495042545
60.0,0.2595275656695425
61.0,0.25790498113641547
62.0,0.25647312060116784
63.0,0.25521595319805224
64.0,0.2541520921661222
65.0,0.2532857810087023
66.0,0.2526225852933681
67.0,0.252193352323983
68.0,0.25203292051177917
69.0,0.2521898788440169
70.0,0.2527208382498471
71.0,0.25365839519771455
72.0,0.2550372627580622
73.0,0.2568901552745053
74.0,0.2592336560495716
75.0,0.26204858050026003
76.0,0.26531779414151896
77.0,0.2690002530935084
78.0,0.2730551080437529
79.0,0.2774218608711258
80.0,0.2820449076513501
81.0,0.2868630031313293
82.0,0.2918268460051085
83.0,0.29690214953500643
84.0,0.30204825002175206
85.0,0.30719603683581914
86.0,0.31228187646558253
87.0,0.31724738678203784
88.0,0.3220387712934121
89.0,0.3266222580856899
90.0,0.33096890584563976
91.0,0.3350506021832814
92.0,0.33884310484855207
93.0,0.34231338612577616
94.0,0.3454390782728159
95.0,0.3482110596175325
96.0,0.35061067809084717
97.0,0.352637858347293
98.0,0.35428396260470757
99.0,0.3555474008969649
100.0,0.3564386311662964
101.0,0.35694772274463366
102.0,0.3570916659047625
103.0,0.35688458974503173
104.0,0.35634102115556365
105.0,0.3554731788677459
106.0,0.35430203306416147
107.0,0.3528447225716222
108.0,0.351129084077361
109.0,0.34918134238505044
110.0,0.34703760379349946
111.0,0.34470338772242165
112.0,0.3422111499555531
113.0,0.33957270676207846
114.0,0.3368082383193771
115.0,0.333923681889278
116.0,0.33092387793684125
117.0,0.3278305161933596
118.0,0.32466215651466884
119.0,0.3214306294555164
120.0,0.31816512446824163
121.0,0.3148867123639426
122.0,0.31161852016088953
123.0,0.30840839967797207
124.0,0.30528706095021224
125.0,0.3023001583138688
126.0,0.29949542992309713
127.0,0.2969113238518844
128.0,0.29459652387988067
129.0,0.2925848577349042
130.0,0.29089949600760134
131.0,0.28955054040209566
132.0,0.2885569866523381
133.0,0.28791847419910455
134.0,0.28762818831482806
135.0,0.28767086582544865
136.0,0.2880314545175358
137.0,0.2886958851523516
138.0,0.2896321279535452
139.0,0.2908207736348061
140.0,0.2922299562984669
141.0,0.29383782920102075
142.0,0.29561165873991524
143.0,0.2975193362229191
144.0,0.2995370282872648
145.0,0.30163445058625615
146.0,0.3037816660873959
147.0,0.3059508033592292
148.0,0.3081169066592838
149.0,0.3102558242702399
150.0,0.3123500029508958
151.0,0.31438150903997
152.0,0.3163355214100495
153.0,0.31820361719107415
154.0,0.3199805084741397
155.0,0.321659699420306
156.0,0.32324551667076235
157.0,0.32473458003719097
158.0,0.32612227725629483
159.0,0.3274200013299609
160.0,0.32862608556432915
161.0,0.3297453088250608
162.0,0.33078056575573506
163.0,0.3317365485344101
164.0,0.33262541903071735
165.0,0.33344629720502766
166.0,0.3342037879975617
167.0,0.3349083274883929
168.0,0.33557263553963085
169.0,0.3361910605298318
170.0,0.3367739391898438
171.0,0.33730370388077235
172.0,0.33779056873541197
173.0,0.3382319158377184
174.0,0.33860271843921713
175.0,0.3389053746582655
176.0,0.33911741860453126
177.0,0.33923373819369085
178.0,0.33924569283194184
179.0,0.33913744717319755
180.0,0.3389029741570394
181.0,0.33854638311199514
182.0,0.3380618545447682
183.0,0.33744953196136385
184.0,0.3367237451963718
185.0,0.3358920469855933
186.0,0.3349676265127539
187.0,0.33396316454550323
188.0,0.33289302017795874
189.0,0.3317789087153814
190.0,0.33063713721561777
191.0,0.3294819781563173
192.0,0.3283358680648198
193.0,0.3272047534630166
194.0,0.3260995692685684
195.0,0.32503667367057454
196.0,0.3240264954255187
197.0,0.3230732332452015
198.0,0.32218386821029604
199.0,0.3213615375237666
200.0,0.3206122757327479
201.0,0.3199292653962743
202.0,0.31931583918625456
203.0,0.3187633387080063
204.0,0.3182746880009299
205.0,0.31784156285919807
206.0,0.31746078878713196
207.0,0.3171276559617464
208.0,0.31683596672093456
209.0,0.3165906133713305
210.0,0.31637765582494665
211.0,0.31620266337026426
212.0,0.3160618540345662
213.0,0.3159545181079941
214.0,0.3158819673974287
215.0,0.31584508588081717
216.0,0.3158413438397651
217.0,0.31587558791313003
218.0,0.3159493715244141
219.0,0.31605346297603765
220.0,0.3161940621639899
221.0,0.3163704358933766
222.0,0.31658443133943825
223.0,0.3168358111996504
224.0,0.31712563993912746
225.0,0.31745869783227143
226.0,0.3178349632817861
227.0,0.3182521866774872
228.0,0.31871676793069204
229.0,0.31922383118977693
230.0,0.3197775203517245
231.0,0.32038057738633635
232.0,0.32102139924849155
233.0,0.32171225212063403
234.0,0.32245031278733705
235.0,0.32322198916926737
236.0,0.3240299747048188
237.0,0.32487204995120994
238.0,0.32573645391044614
239.0,0.3266180644458372
240.0,0.32751103761206823
241.0,0.3284048063382053
242.0,0.3292998411042865
243.0,0.33018193761148906
244.0,0.3310449055870726
245.0,0.33188806883641286
246.0,0.33268941184803036
247.0,0.3334531366055649
248.0,0.33416366931351954
249.0,0.334826536423774
250.0,0.335434612660896
251.0,0.3359819715703138
252.0,0.33646545609980955
253.0,0.33688477514985227
254.0,0.3372458391362896
255.0,0.33753295170604153
256.0,0.3377480158988421
257.0,0.3378962347908146
258.0,0.3379754775206885
259.0,0.33798431637201054
260.0,0.3379302519031208
261.0,0.3378132847966196
262.0,0.3376294571470586
263.0,0.337382329059974
264.0,0.33707946881803313
265.0,0.3367202782815859
266.0,0.3363053047668036
267.0,0.3358426894936641
268.0,0.33533102716685953
269.0,0.3347783060495125
270.0,0.33418238728511396
271.0,0.333557045311277
272.0,0.33290762885387865
273.0,0.3322252033809447
274.0,0.33152081702258707
275.0,0.33079286697108706
276.0,0.33005560864508693
277.0,0.32931061824811786
278.0,0.3285612059362158
279.0,0.32781325192406097
280.0,0.32707598715762226
281.0,0.3263530167683127
282.0,0.32564468463109036
283.0,0.324959385119588
284.0,0.3242987586753729
285.0,0.32366716062824935
286.0,0.3230761259096648
287.0,0.3225286929358449
288.0,0.3220301620183788
289.0,0.32157733912057906
290.0,0.3211810661826
291.0,0.32084150017848967
292.0,0.32055811911915555
293.0,0.3203385216985475
294.0,0.32018439605977517
295.0,0.3200958353493355
296.0,0.32007591519785195
297.0,0.32012277789636495
298.0,0.320246629255089
299.0,0.3204343995461177
300.0,0.3206917111380856
301.0,0.3210124869235163
302.0,0.3214026215381676
303.0,0.3218559991620965
304.0,0.3223746091982385
305.0,0.32294881656981705
306.0,0.3235812294301454
307.0,0.3242702879283274
308.0,0.3250003970566607
309.0,0.3257723843101677
310.0,0.3265796143650464
311.0,0.3274141635655941
312.0,0.3282700335241521
313.0,0.3291474593233779
314.0,0.3300346500930451
315.0,0.33092370708194724
316.0,0.33180752480439274
317.0,0.332685761930001
318.0,0.3335504702590312
319.0,0.33438999433722283
320.0,0.33519937833550434
321.0,0.3359727807847711
322.0,0.33670404145588323
323.0,0.3373939893323474
324.0,0.3380326230217952
325.0,0.33862119497394566
326.0,0.33914847034994283
327.0,0.33961998298461676
328.0,0.34002718813643745
329.0,0.3403628965059992
330.0,0.3406332230223862
