"Iteration","Drag coefficient Monitor: Drag coefficient Monitor"
1.0,0.1315504408852831
2.0,0.6247093651717736
3.0,0.47391199166509945
4.0,0.3789313357372383
5.0,0.3323043711155071
6.0,0.31716654090190766
7.0,0.31175347688865696
8.0,0.3060116640912568
9.0,0.2986277942307498
10.0,0.29035385253975715
11.0,0.2813963343179364
12.0,0.2715198911516983
13.0,0.2604519286868035
14.0,0.24805614328439402
15.0,0.2343538452491288
16.0,0.21948705461636478
17.0,0.20368158787167778
18.0,0.18720331369144794
19.0,0.17034009389934224
20.0,0.15337215651823405
21.0,0.1365525422370214
22.0,0.12009664345885754
23.0,0.1041935874163138
24.0,0.08897699093354998
25.0,0.07451416287282937
26.0,0.06081942830525552
27.0,0.047849932266937796
28.0,0.035524106299597985
29.0,0.02371924633162028
30.0,0.012331862604016135
31.0,0.001310629593970854
32.0,-0.009352215698332222
33.0,-0.01958790669471908
34.0,-0.02927570344103031
35.0,-0.038250141306420724
36.0,-0.04632426867580482
37.0,-0.05330033480110567
38.0,-0.05897951624031193
39.0,-0.0631940220894094
40.0,-0.06581121986636881
41.0,-0.0667419792959417
42.0,-0.06596923819589834
43.0,-0.06354867875131977
44.0,-0.05964611863315746
45.0,-0.05450174977984297
46.0,-0.04838300629110866
47.0,-0.041551834040792684
48.0,-0.03424441541541405
49.0,-0.026655287752150147
50.0,-0.018936865942939952
51.0,-0.01121031591501767
52.0,-0.003587802899804895
53.0,0.003861507309209461
54.0,0.011075018373619202
55.0,0.01799700300728384
56.0,0.024590547258479787
57.0,0.03082828598167215
58.0,0.036687990419951313
59.0,0.04216133752186568
60.0,0.047241155089921556
61.0,0.05193368452286086
62.0,0.056250694262455735
63.0,0.06021149891723501
64.0,0.06383739274200045
65.0,0.0671493768376301
66.0,0.07016461009224288
67.0,0.07289927796857494
68.0,0.07536253606593123
69.0,0.07755704746859336
70.0,0.07947894758738713
71.0,0.08112052227715849
72.0,0.08247294775737074
73.0,0.08351483021334878
74.0,0.08422885713434994
75.0,0.08460386886447283
